domain,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,kappa_RF_XGB,kappa_RF_ET,kappa_XGB_ET,kappa_mean,full_agreement_rate,f1_RF,f1_XGB,f1_ET
Image,symmetric,0.4,2,39.41358024691358,113.22882080078125,0.9137480189375937,0.9477545644208669,0.9161584145269419,0.9258869992951343,0.904320987654321,0.9031750506540763,0.9182188974237292,0.9093958422449504
Image,symmetric,0.4,3,39.96141975308642,113.35843777656555,0.9013195805307485,0.9370731567535556,0.8995975752636137,0.9126634375159726,0.8858024691358025,0.886699187598345,0.9040162750642956,0.8823752986965999
Image,symmetric,0.4,4,40.223765432098766,113.84893012046814,0.9037297607792796,0.9363917639113568,0.902371358700271,0.9141642944636358,0.8904320987654321,0.8911344661707125,0.9058339913389031,0.893524249983496
Image,asymmetric,0.0,0,0.0,76.52974915504456,0.9333464683574935,0.9604776958857345,0.9316279993077542,0.9418173878503273,0.9231481481481482,0.9037211471257974,0.935658654021686,0.9038806465652
Image,asymmetric,0.0,1,0.0,80.31182050704956,0.9395186950700269,0.9590994799387914,0.9408881040491563,0.946502093019325,0.9302469135802469,0.9107144278188934,0.9381876533583078,0.9104459843819166
Image,asymmetric,0.0,2,0.0,80.16787910461426,0.9408830687084752,0.9632145445794454,0.9377868040638656,0.9472948057839288,0.9299382716049382,0.9098141499402914,0.9394035667132836,0.9100692565656899
Image,asymmetric,0.0,3,0.0,79.86646270751953,0.9316086426666138,0.9590821479261645,0.9292014596311802,0.9399640834079861,0.9203703703703704,0.8920407741588887,0.9280885584118452,0.8951958776208103
Image,asymmetric,0.0,4,0.0,79.7413113117218,0.9254040296762691,0.955975139201871,0.9264272702114908,0.9359354796965437,0.9154320987654321,0.8954820501867667,0.9329371477785688,0.8993355626881107
Image,asymmetric,0.1,0,10.339506172839506,99.29928350448608,0.9302519422180842,0.9584183266526605,0.9244100820916265,0.9376934503207903,0.9175925925925926,0.9001195438161067,0.9317332639465221,0.8987663114381927
Image,asymmetric,0.1,1,10.501543209876543,98.76643824577332,0.9326253606570682,0.9522165672999878,0.9309047138827691,0.9385822139466083,0.9197530864197531,0.9069589415728331,0.9284583082739332,0.906519831909994
Image,asymmetric,0.1,2,10.123456790123457,98.50614023208618,0.9388145932160288,0.9601210501838767,0.9367520631223237,0.9452292355074098,0.9277777777777778,0.9104146053530755,0.9316261110193389,0.9117757576931768
Image,asymmetric,0.1,3,9.62962962962963,98.22908163070679,0.9315968376427453,0.9522109847459492,0.9285122524814179,0.9374400249567042,0.9175925925925926,0.8918008114866709,0.921784611645943,0.8915811162679448
Image,asymmetric,0.1,4,10.154320987654321,98.72926640510559,0.9298571280454434,0.9590645361029643,0.9302113120659561,0.9397109920714546,0.9206790123456791,0.8951646603664413,0.937504878180054,0.8987463709010169
Image,asymmetric,0.2,0,20.66358024691358,102.86667728424072,0.9140949232008614,0.9529105638065679,0.9120357108882426,0.9263470659652239,0.904320987654321,0.8928688337798644,0.9180865550842816,0.8961139423028145
Image,asymmetric,0.2,1,20.239197530864196,103.24202537536621,0.9192288915730084,0.9549635726352453,0.9209410518574503,0.9317111720219012,0.9098765432098765,0.8933371474683401,0.9116878991034708,0.8947544455545401
Image,asymmetric,0.2,2,19.405864197530864,98.87884879112244,0.9257380119319609,0.9539242790055982,0.9250569616747719,0.9349064175374436,0.9145061728395062,0.9065233801463954,0.9284503885279467,0.9057209379398845
Image,asymmetric,0.2,3,19.945987654320987,99.39461970329285,0.9202502069125612,0.9429248771936154,0.9109773963890659,0.9247174934984143,0.9006172839506172,0.8869648394769097,0.9011595071060583,0.8871381161029988
Image,asymmetric,0.2,4,19.33641975308642,102.10563397407532,0.9143716137802731,0.9463391184259474,0.9147160822042207,0.925142271470147,0.9015432098765432,0.8894438226147778,0.9123571252525998,0.8897438203783776
Image,asymmetric,0.3,0,30.10030864197531,101.29432272911072,0.8748773026051951,0.9322548249385626,0.8673412747113524,0.8914911340850367,0.8577160493827161,0.8811052249309433,0.8695173465947231,0.8767043038513526
Image,asymmetric,0.3,1,29.390432098765434,101.93404364585876,0.8748429647241305,0.9360317251393707,0.8703897274404666,0.8937548057679893,0.8604938271604938,0.8791707411214464,0.8706672860305311,0.8785895076599155
Image,asymmetric,0.3,2,29.791666666666668,101.35489773750305,0.8796526865680512,0.935321403102517,0.875882895441813,0.8969523283707937,0.8645061728395061,0.8880036104450383,0.8751747234668483,0.8869059382353914
