domain,model,ensemble,noise_type,noise_level,fold,train_size,actual_noise_pct,f1_macro,accuracy,source_file,source_path,who
Tabular,XGBoost,XGBoost,asymmetric,0.1,2.0,278885.0,10.05181347150259,0.9093008422324568,0.9432165344731144,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.1,3.0,278885.0,10.024562095487386,0.9063363531987682,0.9448803086587972,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.1,4.0,278885.0,9.96503935313839,0.903548830249513,0.9429870483785372,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.2,0.0,278884.0,20.01082887508785,0.8480031181126044,0.9162818048822466,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.2,1.0,278885.0,20.00501999031859,0.858075108142134,0.919895010111731,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.2,2.0,278885.0,19.98601574125536,0.8497755515459876,0.9156925460047906,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.2,3.0,278885.0,19.96199150187353,0.8519240088583299,0.9168112907158532,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.2,4.0,278885.0,20.058805600874912,0.8475225451343081,0.9154056883865692,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.3,0.0,278884.0,30.056224093171352,0.7487069965236212,0.8573477525027968,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.3,1.0,278885.0,30.04105634939133,0.7560613113696206,0.8604867973781214,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.3,2.0,278885.0,29.96503935313839,0.7540442157944091,0.8575034781486209,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,asymmetric,0.3,3.0,278885.0,30.011294978216828,0.7489426259146681,0.8574747923867988,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
