dataset,condition,fold,actual_noise_pct,n_train,n_flagged,flag_rate_pct,flag_precision,flag_recall,f1_CL_XGB,acc_CL_XGB,seconds
shuttle,pairflip_40,4,40.10416666666667,24000,9751,40.63,0.5329,0.5398,0.64623438054385,0.8563333333333333,1.4
shuttle,symmetric_10,0,10.158333333333331,24000,2444,10.18,0.8527,0.8548,0.8687797746821173,0.9973333333333332,1.9
shuttle,symmetric_10,1,10.1625,24000,2472,10.3,0.8455,0.8569,0.932824128398316,0.9976666666666668,1.8
shuttle,symmetric_10,2,10.05,24000,2355,9.81,0.8637,0.8433,0.9205490189608736,0.9978333333333332,1.8
shuttle,symmetric_10,3,9.766666666666666,24000,2336,9.73,0.8515,0.8485,0.9260111094847944,0.998,1.8
shuttle,symmetric_10,4,10.2875,24000,2547,10.61,0.8445,0.8712,0.9451321858740248,0.9978333333333332,1.8
shuttle,symmetric_20,0,20.125,24000,4785,19.94,0.8389,0.8311,0.8605767956243606,0.9968333333333332,1.8
shuttle,symmetric_20,1,19.9125,24000,4689,19.54,0.8247,0.8092,0.9291486832804516,0.9971666666666666,1.8
shuttle,symmetric_20,2,19.4375,24000,4636,19.32,0.8384,0.8332,0.8834995357874919,0.9965,1.8
shuttle,symmetric_20,3,20.2875,24000,4842,20.18,0.8416,0.8369,0.8804923797618575,0.997,1.8
shuttle,symmetric_20,4,19.8375,24000,4801,20.0,0.8225,0.8294,0.8748732655537723,0.9958333333333332,1.7
shuttle,symmetric_30,0,30.0125,24000,7207,30.03,0.7934,0.7938,0.8778504877951414,0.9948333333333332,1.8
shuttle,symmetric_30,1,29.50833333333333,24000,6920,28.83,0.8113,0.7927,0.8998408530321924,0.9956666666666668,1.8
shuttle,symmetric_30,2,30.0375,24000,6980,29.08,0.8096,0.7839,0.8423398083847595,0.9921666666666666,1.8
shuttle,symmetric_30,3,29.770833333333336,24000,7043,29.35,0.813,0.8014,0.8745408445777814,0.9958333333333332,1.8
shuttle,symmetric_30,4,30.020833333333336,24000,7154,29.81,0.7896,0.784,0.8737642607518114,0.9933333333333332,1.8
shuttle,symmetric_40,0,39.625,24000,9291,38.71,0.7756,0.7577,0.799251847596205,0.9851666666666666,1.7
shuttle,symmetric_40,1,39.90416666666667,24000,9563,39.85,0.7704,0.7692,0.854548096034025,0.9861666666666666,1.8
shuttle,symmetric_40,2,39.925,24000,9594,39.98,0.7593,0.7603,0.7745625031172214,0.9795,1.7
shuttle,symmetric_40,3,40.1,24000,9537,39.74,0.7627,0.7558,0.8134933732663482,0.9876666666666668,1.6
shuttle,symmetric_40,4,40.10416666666667,24000,9728,40.53,0.7558,0.7638,0.7707890613586437,0.9841666666666666,1.6
har,asymmetric_10,0,10.378312765527008,4943,517,10.46,0.9362,0.9435,0.9796580684496976,0.9789644012944984,56.8
har,asymmetric_10,1,10.843617236496057,4943,553,11.19,0.9277,0.9571,0.9853460395328578,0.9854368932038836,55.6
har,asymmetric_10,2,9.973700182075662,4943,496,10.03,0.9315,0.9371,0.9788274540966808,0.9789644012944984,56.4
har,asymmetric_10,3,10.0748533279385,4943,508,10.28,0.9272,0.9458,0.980590414649108,0.9805825242718448,56.1
har,asymmetric_10,4,10.436893203883496,4944,528,10.68,0.9167,0.938,0.9837132689336536,0.9838056680161944,55.2
har,asymmetric_20,0,20.675703014363748,4943,1008,20.39,0.9425,0.9295,0.9735192379941984,0.9733009708737864,52.2
har,asymmetric_20,1,19.643940926562816,4943,977,19.77,0.9478,0.9537,0.9799451479641652,0.9797734627831716,52.0
har,asymmetric_20,2,19.765324701598217,4943,1005,20.33,0.9313,0.958,0.9670476537617052,0.9668284789644012,48.1
har,asymmetric_20,3,20.149706655877,4943,996,20.15,0.9468,0.9468,0.9798522908199608,0.9797734627831716,50.7
har,asymmetric_20,4,19.457928802589,4944,948,19.17,0.9462,0.9324,0.9751050573551197,0.9748987854251012,51.5
har,asymmetric_30,0,29.53671859194821,4943,1477,29.88,0.8876,0.8979,0.951981625277301,0.9514563106796116,60.9
har,asymmetric_30,1,29.61764110863848,4943,1513,30.61,0.8777,0.9071,0.9595418329094696,0.95873786407767,57.9
har,asymmetric_30,2,29.880639287881856,4943,1522,30.79,0.8587,0.8849,0.9400475895355852,0.9393203883495146,60.3
har,asymmetric_30,3,29.21302852518713,4943,1460,29.54,0.8959,0.9058,0.9621208767671624,0.9619741100323624,57.4
har,asymmetric_30,4,30.6836569579288,4944,1612,32.61,0.848,0.9011,0.9531479727572696,0.953846153846154,60.0
har,asymmetric_40,0,39.3081124822982,4943,2081,42.1,0.7093,0.7597,0.8866679893006942,0.889967637540453,75.4
har,asymmetric_40,1,40.38033582844427,4943,2091,42.3,0.7001,0.7335,0.8797614081713374,0.883495145631068,78.1
har,asymmetric_40,2,39.36880436981591,4943,2030,41.07,0.7138,0.7446,0.881423584379582,0.883495145631068,81.9
har,asymmetric_40,3,40.52195023265224,4943,2176,44.02,0.6838,0.7429,0.8669564332048337,0.8697411003236246,76.6
har,asymmetric_40,4,39.66423948220065,4944,2012,40.7,0.7182,0.7369,0.879349318122243,0.8809716599190284,81.6
har,clean_0,0,0.0,4943,1,0.02,0.0,,0.988954359925993,0.988673139158576,57.0
