dataset,condition,fold,method,f1,noise_type,noise_level
drybean,symmetric_40,3,XGB,0.8936569636532766,symmetric,40
drybean,symmetric_40,4,XGB,0.9185068601102434,symmetric,40
har,asymmetric_10,0,XGB,0.9788148838305244,asymmetric,10
har,asymmetric_10,1,XGB,0.9802434900817556,asymmetric,10
har,asymmetric_10,2,XGB,0.9713690978316332,asymmetric,10
har,asymmetric_10,3,XGB,0.9805281474039788,asymmetric,10
har,asymmetric_10,4,XGB,0.9822127224947468,asymmetric,10
har,asymmetric_20,0,XGB,0.963652087162257,asymmetric,20
har,asymmetric_20,1,XGB,0.9470799884549717,asymmetric,20
har,asymmetric_20,2,XGB,0.9501849014216972,asymmetric,20
har,asymmetric_20,3,XGB,0.9631228107798,asymmetric,20
har,asymmetric_20,4,XGB,0.9576219180827592,asymmetric,20
har,asymmetric_30,0,XGB,0.8991146093028624,asymmetric,30
har,asymmetric_30,1,XGB,0.8847906516528941,asymmetric,30
har,asymmetric_30,2,XGB,0.8566000992814695,asymmetric,30
har,asymmetric_30,3,XGB,0.9126101245971916,asymmetric,30
har,asymmetric_30,4,XGB,0.8796881375597553,asymmetric,30
har,asymmetric_40,0,XGB,0.7584038487879163,asymmetric,40
har,asymmetric_40,1,XGB,0.6965054616610225,asymmetric,40
har,asymmetric_40,2,XGB,0.7285171507593938,asymmetric,40
har,asymmetric_40,3,XGB,0.7254357664181756,asymmetric,40
har,asymmetric_40,4,XGB,0.7201454025637269,asymmetric,40
har,clean_0,0,XGB,0.988766392681752,clean,0
har,clean_0,1,XGB,0.9911590653346884,clean,0
har,clean_0,2,XGB,0.9860821988928752,clean,0
har,clean_0,3,XGB,0.987216310701822,clean,0
har,clean_0,4,XGB,0.9878479309172968,clean,0
har,pairflip_40,0,XGB,0.8150780317537013,pairflip,40
har,pairflip_40,1,XGB,0.8030688914835182,pairflip,40
har,pairflip_40,2,XGB,0.8121544115015457,pairflip,40
har,pairflip_40,3,XGB,0.8022892453286342,pairflip,40
har,pairflip_40,4,XGB,0.7920656744288914,pairflip,40
har,symmetric_10,0,XGB,0.9832243544986602,symmetric,10
har,symmetric_10,1,XGB,0.985330827288408,symmetric,10
har,symmetric_10,2,XGB,0.9786336093461294,symmetric,10
har,symmetric_10,3,XGB,0.9823933116781244,symmetric,10
har,symmetric_10,4,XGB,0.9858328764628091,symmetric,10
har,symmetric_20,0,XGB,0.9749497832897877,symmetric,20
har,symmetric_20,1,XGB,0.980088568215764,symmetric,20
har,symmetric_20,2,XGB,0.9775686391394912,symmetric,20
har,symmetric_20,3,XGB,0.9766387684314984,symmetric,20
har,symmetric_20,4,XGB,0.9763706112118276,symmetric,20
har,symmetric_30,0,XGB,0.967819410026289,symmetric,30
har,symmetric_30,1,XGB,0.9711400219569932,symmetric,30
har,symmetric_30,2,XGB,0.9664000676450872,symmetric,30
har,symmetric_30,3,XGB,0.9713991037294232,symmetric,30
har,symmetric_30,4,XGB,0.9649625143810622,symmetric,30
har,symmetric_40,0,XGB,0.950711206136582,symmetric,40
har,symmetric_40,1,XGB,0.9523340693663238,symmetric,40
har,symmetric_40,2,XGB,0.93703871973708,symmetric,40
har,symmetric_40,3,XGB,0.9427483260428628,symmetric,40
har,symmetric_40,4,XGB,0.9394641053126236,symmetric,40
isolet,asymmetric_10,0,XGB,0.9324971321016772,asymmetric,10
isolet,asymmetric_10,1,XGB,0.9314789072363822,asymmetric,10
isolet,asymmetric_10,2,XGB,0.9321316349851126,asymmetric,10
isolet,asymmetric_10,3,XGB,0.9570727682970868,asymmetric,10
isolet,asymmetric_10,4,XGB,0.9251259839399296,asymmetric,10
isolet,asymmetric_20,0,XGB,0.9036858277463437,asymmetric,20
isolet,asymmetric_20,1,XGB,0.9108560911052042,asymmetric,20
isolet,asymmetric_20,2,XGB,0.9037366039103808,asymmetric,20
isolet,asymmetric_20,3,XGB,0.9216409751992234,asymmetric,20
isolet,asymmetric_20,4,XGB,0.9105938336440744,asymmetric,20
isolet,asymmetric_30,0,XGB,0.8126492044745747,asymmetric,30
isolet,asymmetric_30,1,XGB,0.8291582307478934,asymmetric,30
isolet,asymmetric_30,2,XGB,0.8283448676535813,asymmetric,30
isolet,asymmetric_30,3,XGB,0.8518419765204412,asymmetric,30
isolet,asymmetric_30,4,XGB,0.831877155865834,asymmetric,30
isolet,asymmetric_40,0,XGB,0.6913331783191924,asymmetric,40
isolet,asymmetric_40,1,XGB,0.6582962913708965,asymmetric,40
isolet,asymmetric_40,2,XGB,0.7031481498631578,asymmetric,40
isolet,asymmetric_40,3,XGB,0.6681875654777462,asymmetric,40
isolet,asymmetric_40,4,XGB,0.6634583085080847,asymmetric,40
isolet,clean_0,0,XGB,0.9318265241589632,clean,0
isolet,clean_0,1,XGB,0.9382392745964422,clean,0
isolet,clean_0,2,XGB,0.9396454115064632,clean,0
isolet,clean_0,3,XGB,0.962512642807504,clean,0
isolet,clean_0,4,XGB,0.9475116487134996,clean,0
isolet,pairflip_40,0,XGB,0.8456010912075826,pairflip,40
isolet,pairflip_40,1,XGB,0.8771608794831813,pairflip,40
isolet,pairflip_40,2,XGB,0.8789718158281088,pairflip,40
